"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"September 25, 2019",Ohio,Kimbolton,"Church Hill Rd",0,0,N/A
"September 25, 2019",Ohio,Akron,"East Ave and Longview Ave",0,1,N/A
"September 25, 2019",Washington,Spokane,"S Ray St and E 5th Ave",0,1,N/A
"September 25, 2019",Mississippi,Jackson,"4573 Bullard St",0,1,N/A
"September 25, 2019",Mississippi,Jackson,"400 block of Derrick St",1,0,N/A
"September 25, 2019",Louisiana,Lacombe,"Fish Hatchery Rd and Oak Cove Dr",1,0,N/A
"September 25, 2019",Michigan,Holland,"144th Ave and Douglas Ave",0,1,N/A
"September 24, 2019","North Carolina","Matthews (Wesley Chapel)","5945 Weddington Rd",0,0,N/A
"September 24, 2019",Georgia,"Fort Valley","700 Block of Elberta St",0,2,N/A
"September 24, 2019",Oklahoma,Tulsa,"15th St and Garnett",0,0,N/A
"September 24, 2019",Texas,"San Antonio","3000 block of Rigsby Ave",0,1,N/A
"September 24, 2019",Texas,"San Antonio","1922 S General McMullen Dr",0,0,N/A
"September 24, 2019",Georgia,Toccoa,"W Spring St",0,1,N/A
"September 24, 2019","South Carolina",Hartsville,"701 Lewellen Ave",0,0,N/A
"September 24, 2019",Michigan,Detroit,"Gallagher St and Emery St",0,1,N/A
"September 24, 2019",Georgia,Atlanta,"600 block of University Ave",1,0,N/A
"September 24, 2019",Michigan,"Grand Rapids","Madison Ave SE and Woodlawn St",0,1,N/A
"September 24, 2019","New Mexico","Doña Ana County (county)","6600 block of Chula Vista Rd",0,2,N/A
"September 24, 2019",Kentucky,Lexington,"New Circle Rd and Fontaine Rd",0,0,N/A
"September 24, 2019",Texas,Houston,"1600 block Terry St",0,1,N/A
"September 24, 2019",Virginia,Dumfries,"3100 block of Chesapeake Dr",1,0,N/A
"September 24, 2019",Illinois,Decatur,"343 W Grand Ave",0,0,N/A
"September 24, 2019",Ohio,Hamilton,"900 block of Hanover St",0,1,N/A
"September 24, 2019",Virginia,Waynesboro,"405 James Ave",0,0,N/A
"September 24, 2019","South Carolina","North Charleston","7800 block of Northside Dr",1,0,N/A
"September 24, 2019","South Carolina",Charleston,"1 Stroble Ln",1,1,N/A
"September 24, 2019",Missouri,"Kansas City (Gladstone)","41 NE 60th Terrace",1,0,N/A
"September 24, 2019",Texas,Houston,"9200 block of Nathaniel St",1,0,N/A
"September 24, 2019",Colorado,Aurora,"1345 Macon St",0,0,N/A
"September 24, 2019",Virginia,Richmond,"422 W Broad St",0,1,N/A
"September 24, 2019",Missouri,"Saint Louis","100 block of Shepley Dr",0,1,N/A
"September 24, 2019",Kansas,"Kansas City","32nd St and Delevan Ave",0,1,N/A
"September 24, 2019",Virginia,"Newport News","13450 Woodside Ln",0,0,N/A
"September 24, 2019",California,Pomona,"700 block of Gilbert Ave",0,0,N/A
"September 24, 2019",California,Stockton,"7900 block of N El Dorado St",0,0,N/A
"September 24, 2019",California,Coachella,"Nelson Ave and Valley Rd",0,0,N/A
"September 24, 2019",Virginia,Hampton,"4900 block of Falcon Creek Way",2,0,N/A
"September 24, 2019",Ohio,Cleveland,"Brookport Rd and Chevrolet Blvd",0,0,N/A
"September 24, 2019",Tennessee,Crossville,"1400 block of W Creston Rd",0,1,N/A
"September 24, 2019","New York",Bronx,"95 Brandt Pl",0,1,N/A
"September 24, 2019","New York",Brooklyn,"Howard Ave and St Johns Pl",0,1,N/A
"September 24, 2019",Colorado,"Littleton (Highlands Ranch)","9800 block of Castle Ridge Cir",0,0,N/A
"September 24, 2019",California,Acampo,"Mann Rd and Acampo Rd",0,0,N/A
"September 24, 2019",Tennessee,Chattanooga,"1300 block of Greenwood Rd",0,1,N/A
"September 24, 2019",Tennessee,Nashville,"1406 Brick Church Pike",1,0,N/A
"September 24, 2019","New Mexico",Albuquerque,"2nd St NW and Silver Ave SW",0,0,N/A
"September 24, 2019",Georgia,Macon,"3401 Houston Ave",0,1,N/A
"September 24, 2019",Georgia,Chatsworth,"Sequoyah Dr and Rebel Ln",1,1,N/A
"September 24, 2019",Connecticut,Stratford,"100 Larkin Court",0,0,N/A
"September 24, 2019",Texas,"New Braunfels","Dove Crossing Dr and Eagle Pass Dr",0,0,N/A
"September 24, 2019",California,"Long Beach","6001 Long Beach Blvd",0,0,N/A
"September 24, 2019",Texas,"San Marcos","600 block of Mill St",0,1,N/A
"September 24, 2019",Massachusetts,Templeton,N/A,0,0,N/A
"September 24, 2019",Georgia,Lawrenceville,"564 W Crogan St",0,0,N/A
"September 24, 2019",Georgia,Thomasville,"601 Park Ave",0,0,N/A
"September 24, 2019",Florida,Tallahassee,"1616 McCaskill Ave",0,0,N/A
"September 24, 2019","North Carolina",Wilmington,"1000 Block of Emory St",0,1,N/A
"September 24, 2019",Pennsylvania,York,"200 block of Kurtz Ave",0,1,N/A
"September 24, 2019",Florida,Tallahassee,"2900 block of Sharer Rd",0,1,N/A
"September 24, 2019","North Carolina",Salisbury,"W Fisher St and Partee St",0,0,N/A
"September 24, 2019","New Jersey",Newark,"618 Market St",1,0,N/A
"September 24, 2019","New Jersey",Bayonne,"1347 John F Kennedy Blvd",0,0,N/A
"September 24, 2019","North Carolina",Sanford,"2000 Block of S Horner Blvd",1,0,N/A
"September 24, 2019","North Carolina",Zebulon,"US 264",1,0,N/A
"September 24, 2019",Tennessee,Nashville,"Arapaho Bend",0,0,N/A
"September 24, 2019","New York",Syracuse,"S Salina St and Webster Ave",0,0,N/A
"September 24, 2019",Tennessee,Rockford,"Beacon Way",0,0,N/A
"September 24, 2019",Michigan,Detroit,"10300 block of Britain St",0,1,N/A
"September 24, 2019",Connecticut,Waterbury,"173 Willow street",0,1,N/A
"September 24, 2019",Indiana,Bedford,"2600 block of 6th St",0,0,N/A
"September 24, 2019",Michigan,Detroit,"6800 block of Michigan Ave",0,1,N/A
"September 24, 2019",Michigan,Detroit,"11000 block of Nottingham",1,0,N/A
"September 24, 2019",Mississippi,Clarksdale,"Martin Luther King Blvd and Bolivar Ave",0,1,N/A
"September 24, 2019","North Carolina","High Point","1208 Filbert Place",1,0,N/A
"September 24, 2019",Florida,Ocala,"621 NW Second St",0,0,N/A
"September 24, 2019","North Carolina","New Bern","1914 ML King Jr Blvd",0,1,N/A
"September 24, 2019",Indiana,Hammond,"7200 block of Carolina Ave",0,1,N/A
"September 24, 2019",Florida,Gainesville,"5800 SW 20th Ave",0,0,N/A
"September 24, 2019","West Virginia",Huntington,"826 8th St",1,0,N/A
"September 24, 2019",Massachusetts,Boston,"500 River  Street",0,0,N/A
"September 24, 2019",California,Fresno,"W Meyers Ave",0,1,N/A
"September 24, 2019",Tennessee,Chattanooga,"2700 block of S Orchard Knob Ave",0,1,N/A
"September 24, 2019",California,Fontana,"16581 Filbert Ave",0,1,N/A
"September 24, 2019",Tennessee,Memphis,"4300 block of Eastwind Dr",0,1,N/A
"September 24, 2019",Indiana,Indianapolis,"N Rural St and E Michigan St",0,1,N/A
"September 24, 2019",Georgia,Atlanta,"4346 Fulton Industrial Blvd",0,3,N/A
"September 24, 2019",Pennsylvania,Philadelphia,"2800 block of Ormes St",1,0,N/A
"September 24, 2019",Louisiana,"Baton Rouge","3100 block of Pampas St",0,0,N/A
"September 24, 2019","District of Columbia",Washington,"1200 block of I St SE",0,1,N/A
"September 24, 2019",Georgia,Lagrange,"Graphic St",0,1,N/A
"September 24, 2019",Indiana,Indianapolis,"3300 block of Carpenter Ct",0,1,N/A
"September 24, 2019",Indiana,Indianapolis,"600 block of W 30th St",0,1,N/A
"September 24, 2019",Maryland,Baltimore,"2700 block of E Preston St",1,0,N/A
"September 24, 2019",Maryland,Baltimore,"3800 block of Hayward Ave",1,0,N/A
"September 24, 2019",Maryland,Baltimore,"400 block of Montford Ave",0,1,N/A
"September 24, 2019",Georgia,Macon,"200 block of Bradstone Cir",0,1,N/A
"September 24, 2019",Ohio,Springfield,"9120 E High St",0,0,N/A
"September 24, 2019",Illinois,Chicago,"800 block of N State St",0,0,N/A
"September 24, 2019",Georgia,Atlanta,"Greenbriar Pkwy",0,0,N/A
"September 24, 2019",Georgia,Kennesaw,"3840 Jiles Rd",1,0,N/A
"September 24, 2019",Georgia,Decatur,"Maypop Ln",1,0,N/A
"September 24, 2019",Ohio,Canton,"1500 block of 2nd St NE",0,0,N/A
"September 24, 2019",Florida,Cocoa,"Westpoint Dr",0,1,N/A
"September 24, 2019",Illinois,Chicago,"7600 block of S Throop St",0,1,N/A
"September 24, 2019",Florida,"Lehigh Acres","Petrucka Cir",0,0,N/A
"September 24, 2019",Illinois,Chicago,"100 block of N Laramie Ave",0,1,N/A
"September 24, 2019",Illinois,Chicago,"12200 block of S Halsted St",0,1,N/A
"September 24, 2019",Illinois,Chicago,"2200 block of E 93rd St",1,1,N/A
"September 24, 2019",Alabama,Atmore,"Jimbo Rd",1,0,N/A
"September 24, 2019",Illinois,Chicago,"50 block of E Garfield Blvd",1,2,N/A
"September 24, 2019",Illinois,Chicago,"50 block of E 74th St",1,0,N/A
"September 24, 2019","District of Columbia",Washington,"192 19th St SE",0,0,N/A
"September 24, 2019",Maryland,Baltimore,"2200 block of Park Ave",0,1,N/A
"September 24, 2019","New York","Staten Island",N/A,0,0,N/A
"September 24, 2019","District of Columbia",Washington,"600 block of Newton St NW",0,1,N/A
"September 24, 2019",Illinois,Chicago,"1100 block of E 81st St",0,2,N/A
"September 24, 2019",Illinois,Chicago,"11900 block of S Stewart Ave",0,1,N/A
"September 24, 2019",Illinois,Chicago,"200 block of N Hamlin Blvd",1,0,N/A
"September 24, 2019",Ohio,Cincinnati,"3400 block of Hallwood Pl",0,1,N/A
"September 24, 2019","New York",Bronx,"870 Jennings St",0,1,N/A
"September 24, 2019","New York",Brooklyn,"Nostrand Ave and Hawthorne St",0,1,N/A
"September 24, 2019",Ohio,Columbus,"Moon Rd and Maize Rd",1,0,N/A
"September 24, 2019",Ohio,Cincinnati,"1122 Chesterdale Dr",1,0,N/A
"September 24, 2019",Washington,Seattle,"15th Ave NE and NE 85th St",0,0,N/A
"September 24, 2019",Alabama,Birmingham,"7300 block of Oporto Madrid Ave",0,0,N/A
"September 24, 2019",Mississippi,Jackson,"5709 I-55",0,1,N/A
"September 24, 2019",Wisconsin,Milwaukee,"N 9th St and W Wells St",0,1,N/A
"September 24, 2019",Mississippi,Jackson,"Fairmont Ave",0,1,N/A
"September 24, 2019",Mississippi,Pearl,"105 River Ridge Ct",0,0,N/A
"September 24, 2019",Oregon,"Benton (county)",N/A,0,0,N/A
"September 24, 2019",Louisiana,Opelousas,"1629 E Cresswell Lane",0,0,N/A
"September 24, 2019",Minnesota,"Saint Paul","Fremont Ave E and Mendota St",1,0,N/A
"September 24, 2019",Oklahoma,Tulsa,"4600 block of N Boulder Ave",0,1,N/A
"September 24, 2019",Indiana,Cloverdale,"205 E Market St",0,0,N/A
"September 24, 2019",Indiana,Indianapolis,"Central Ave and 30th St",0,1,N/A
"September 24, 2019",Indiana,Indianapolis,"4300 block of Shady View Dr",0,1,N/A
"September 24, 2019",Texas,"Fort Worth","Post Oak Boulevard and Trinity Boulevard",0,1,N/A
"September 24, 2019",Illinois,Chicago,"2000 block of South Hoyne Ave",1,3,N/A
"September 24, 2019",Arkansas,"Fort Smith","6600 Phoenix Ave",0,1,N/A
"September 23, 2019",Texas,Warren,"Co Rd 4470",1,0,N/A
"September 23, 2019",Louisiana,"New Orleans","3900 block of Ulloa St",1,0,N/A
"September 23, 2019","North Carolina",Charlotte,"Old Pineville Rd",0,0,N/A
"September 23, 2019",Missouri,"Saint Louis","8600 block of Halls Ferry Rd",1,1,N/A
"September 23, 2019",California,"Moreno Valley","16100 block of Cosmos St",1,1,N/A
"September 23, 2019",Missouri,Columbia,"McKee St and Rice Rd",0,0,N/A
"September 23, 2019","South Carolina",Kingstree,"Morrisville Hwy",1,0,N/A
"September 23, 2019",Oklahoma,"Oklahoma City","SW 83rd St and S May Ave",0,1,N/A
"September 23, 2019",California,Hesperia,"16200 block of Sultana St",1,0,N/A
"September 23, 2019",Texas,Spring,"20300 block of Little Wing Dr",0,0,N/A
"September 23, 2019","South Carolina","Moncks Corner","200 block of Maywood Dr",0,0,N/A
"September 23, 2019",Tennessee,Memphis,"3201 Mill Branch Rd",0,0,N/A
"September 23, 2019",Ohio,Ashtabula,N/A,0,1,N/A
"September 23, 2019",Louisiana,Hammond,"Dillon Ln",1,1,N/A
"September 23, 2019","New York",Wantagh,"Bayview Ave",0,0,N/A
"September 23, 2019",Georgia,Columbus,"5448 Forrest Rd",1,0,N/A
"September 23, 2019",Missouri,Liberty,"Camelot Dr and Kings Ridge",0,0,N/A
"September 23, 2019",Indiana,Kokomo,"400 block of N Bell St",1,0,N/A
"September 23, 2019",Kansas,Pittsburg,"4000 block of N Parkview Dr",0,0,N/A
"September 23, 2019",Kansas,Parsons,"2300 block of Southern Ave",0,1,N/A
"September 23, 2019",Nevada,Reno,"3000 S McCarran Blvd",0,1,N/A
"September 23, 2019",Ohio,Fairlawn,"100 block of Buffington Rd",0,1,N/A
"September 23, 2019",Virginia,"Virginia Beach","3600 block of Essex Pond Quay",0,1,N/A
"September 23, 2019",Mississippi,Canton,N/A,0,0,N/A
"September 23, 2019",Ohio,Akron,"124 Tate Terrace",0,0,N/A
"September 23, 2019",Arkansas,"Hot Springs National Park (Hot Springs)","133 Chapel St",1,0,N/A
"September 23, 2019",Colorado,"Colorado Springs","400 block of Crestone Ln",0,0,N/A
"September 23, 2019",Colorado,"Colorado Springs","1472 Meadow Peak View",0,0,N/A
"September 23, 2019","District of Columbia",Washington,"3000 block of 24th Pl NE",0,0,N/A
"September 23, 2019",California,"San Jose","5200 block of Monterey Rd",1,0,N/A
"September 23, 2019",Illinois,Zion,"3100 block of Elim Ave",0,0,N/A
"September 23, 2019",California,Sacramento,"Bacon Island St and Grizzly Bay Rd",0,1,N/A
"September 23, 2019",Colorado,Denver,"3460 W 67th Ave",1,1,N/A
"September 23, 2019",Georgia,Macon,"4300 block of Pinedale Dr",0,2,N/A
"September 23, 2019",California,Vallejo,"1000 block of Magazine St",1,0,N/A
"September 23, 2019",Pennsylvania,York,"300 block of Lexington Ave",0,0,N/A
"September 23, 2019",California,Wilmington,"1000 block of S Figueroa St",1,0,N/A
"September 23, 2019",California,Coalinga,"400 block of E Pleasant St",0,1,N/A
"September 23, 2019",California,"Apple Valley","18000 block of Nakash Rd",0,0,N/A
"September 23, 2019",Georgia,Valdosta,"1100 block of Melody Ln",1,1,N/A
"September 23, 2019",California,Bakersfield,"617 Union Ave",2,0,N/A
"September 23, 2019","North Carolina","Kings Mountain",N/A,0,1,N/A
"September 23, 2019",Illinois,Centralia,"600 block of E Kerr St",0,0,N/A
"September 23, 2019",Oregon,Portland,"16880 NW Germantown Rd",1,0,N/A
"September 23, 2019",Ohio,"Cincinnati (Mount Healthy)","1357 Compton Rd",0,1,N/A
"September 23, 2019",Illinois,Shobonier,N/A,0,1,N/A
"September 23, 2019",Indiana,Evansville,"West Oregon St and Oakley St",0,1,N/A
"September 23, 2019",Ohio,Akron,"200 block of N Forge St",1,0,N/A
"September 23, 2019",Texas,Plano,"800 E Parker Rd",0,1,N/A
"September 23, 2019",Virginia,Fredericksburg,"800 block of Denton Cir",1,0,N/A
"September 23, 2019",Maine,Casco,"Tenney Hill Road",0,1,N/A
"September 23, 2019",Connecticut,Waterbury,"Oronoke Road",0,0,N/A
"September 23, 2019",Pennsylvania,Philadelphia,"7100 block of Walker St",1,1,N/A
"September 23, 2019",Pennsylvania,Philadelphia,"2500 block of N Myrtlewood St",0,0,N/A
"September 23, 2019",Illinois,"East Saint Louis","8301 State St",1,0,N/A
"September 23, 2019",Missouri,"Saint Louis","Hamilton Ave and Wells Ave",1,0,N/A
"September 23, 2019",Missouri,"Saint Louis","4800 block of Hammett Place",2,0,N/A
"September 23, 2019",Louisiana,"New Orleans","2436 Ursulines Ave",0,2,N/A
"September 23, 2019","South Carolina","North Augusta",N/A,0,0,N/A
"September 23, 2019",Virginia,Woodbridge,"1300 block of E St",1,0,N/A
"September 23, 2019",Connecticut,Danbury,N/A,0,0,N/A
"September 23, 2019",Indiana,Gary,"1600 block of Connecticut St",2,2,N/A
"September 23, 2019","New Jersey",Paterson,"Pearl St and Carroll St",0,1,N/A
"September 23, 2019",Wisconsin,Milwaukee,"S 20th St and W National Ave",0,1,N/A
"September 23, 2019",Wisconsin,Milwaukee,"N 37th St and W Wright St",0,1,N/A
"September 23, 2019",Nebraska,"North Platte","100 block of E 12th St",0,1,N/A
"September 23, 2019",Wisconsin,Milwaukee,"N 91st and WI 145",0,0,N/A
"September 23, 2019",Wisconsin,Sheboygan,"3060 S Business Dr",1,0,N/A
"September 23, 2019",Pennsylvania,Pittsburgh,"Ridge Way and Maple St",1,0,N/A
"September 23, 2019",Pennsylvania,Hanover,"300 block of Boradway",0,0,N/A
"September 23, 2019",Pennsylvania,Lancaster,"300 block of Howard Ave",1,0,N/A
"September 23, 2019",Indiana,Indianapolis,"5060 E 38th St",0,1,N/A
"September 23, 2019",Maryland,Laurel,"200 block of Red Clay Rd",0,1,N/A
"September 23, 2019",Illinois,Chicago,"7800 block of S Sangamon St",0,1,N/A
"September 23, 2019",Georgia,Covington,N/A,0,0,N/A
"September 23, 2019",Georgia,"Atlanta (East Point)",N/A,0,2,N/A
"September 23, 2019","North Carolina",Salisbury,"1614 Standish St",0,0,N/A
"September 23, 2019",California,Riverside,"3300 block of Russell St",1,0,N/A
"September 23, 2019",Illinois,Chicago,"2300 W 21st St",0,1,N/A
"September 23, 2019",Texas,Houston,"9261 Gulf Fwy",1,1,N/A
"September 23, 2019",Texas,Dallas,"2900 block of Lombardy Ln",0,0,N/A
"September 23, 2019","New York",Bronx,"428 E 162nd St",1,0,N/A
"September 23, 2019",Illinois,Chicago,"1200 block of S Canal St",0,1,N/A
"September 23, 2019","New York",Brooklyn,"E 21st St and Ditmas Ave",0,2,N/A
"September 23, 2019",Illinois,Northbrook,"1363 Shermer Rd",0,0,N/A
"September 23, 2019",Florida,Pensacola,"W St and Avery St",0,0,N/A
"September 23, 2019",Florida,Pensacola,"Rolling Hills Rd and Kyle Dr",0,1,N/A
"September 23, 2019",Illinois,Chicago,"8500 block of S Peoria St",0,1,N/A
"September 23, 2019","New York","Staten Island","502 Delafield Ave",0,1,N/A
"September 23, 2019",Florida,"Palm Beach Gardens (Riviera Beach)","1600 block of W 14th St",0,1,N/A
"September 23, 2019","New York",Brooklyn,"260 Howard Ave",0,1,N/A
"September 23, 2019",Illinois,Chicago,"224 S Michigan Ave",0,0,N/A
"September 23, 2019",Illinois,Harvey,"Paulina St and W 158th St",1,0,N/A
"September 23, 2019",Maryland,"Brooklyn (Brooklyn Park)","E 11th Ave and MD-2",0,0,N/A
"September 23, 2019",Florida,Hialeah,"E 10th Ave and E Ninth St",0,1,N/A
"September 23, 2019",Florida,Jacksonville,"7100 block of Timmerman Ln",0,0,N/A
"September 23, 2019",Delaware,Seaford,"23000 block of German Rd",0,1,N/A
"September 23, 2019",Delaware,Harrington,"1259 Corn Crib Rd",0,1,N/A
"September 23, 2019",Ohio,Youngstown,"4116 Moticello Bvld",0,1,N/A
"September 23, 2019",Ohio,Columbus,"Astor Ave and Waverly St",0,1,N/A
"September 23, 2019",Pennsylvania,Philadelphia,"3000 block of Germantown Ave",0,2,N/A
"September 23, 2019",Pennsylvania,Pottstown,"King St and Scott St",1,0,N/A
